ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
13-1140,W Bainbridge Shoreline Protection PSAR,A,Active,PSAR CAP,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
13-1140,W Bainbridge Shoreline Protection PSAR,A,Active,PSAR CAP,Riparian Habitat Project,Planting (C.5.c.1),Miles of streambank planted (C.5.c.4),,0.00,0.00,Miles,Riparian,Habitat
13-1140,W Bainbridge Shoreline Protection PSAR,A,Active,PSAR CAP,Real Property Acquisition,Project Acres Acquired,,,12.49,0.00,Acres,,
13-1140,W Bainbridge Shoreline Protection PSAR,A,Active,PSAR CAP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,5.06,0.00,Acres,Land Acquisition Fee Simple,Acquisition
13-1140,W Bainbridge Shoreline Protection PSAR,A,Active,PSAR CAP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,7.43,0.00,Acres,Land Acquisition Fee Simple,Acquisition
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.30,0.30,Miles,,
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Real Property Acquisition,Project Acres Acquired,,,24.00,25.47,Acres,,
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,6.00,6.00,Acres,Land Acquisition Fee Simple,Acquisition
15-1471,Illahee Forest Preserve,A,Active,PSAR CAP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,18.00,19.47,Acres,Land Acquisition Fee Simple,Acquisition
13-1143,West Sound Watertyping III,P,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,348,Number,,
13-1143,West Sound Watertyping III,P,Active,PSAR,Salmonid Habitat Assessment / Inventory,Instream survey (B.2.c),Stream Miles Assessed That Needed Restoration (B.2.c.4),,10.00,10.00,Miles,Survey,Assessment
13-1143,West Sound Watertyping III,P,Active,PSAR,Salmonid Habitat Assessment / Inventory,Instream survey (B.2.c),Number of fish passage impediments identified (B.2.c.6),,15,35,Number,Survey,Assessment
13-1143,West Sound Watertyping III,P,Active,PSAR,Salmonid Habitat Assessment / Inventory,Instream survey (B.2.c),Stream Miles Assessed For Regulatory Actions (B.2.c.5),,50.00,50.00,Miles,Survey,Assessment
13-1143,West Sound Watertyping III,P,Active,PSAR,Salmonid Habitat Assessment / Inventory,Instream survey (B.2.c),Stream miles assessed that contained salmonids (B.2.c.3),,25.00,45.00,Miles,Survey,Assessment
13-1143,West Sound Watertyping III,P,Active,PSAR,Salmonid Habitat Assessment / Inventory,Instream survey (B.2.c),Stream Miles Assessed (B.2.c.2),,50.00,50.00,Miles,Survey,Assessment
13-1143,West Sound Watertyping III,P,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
13-1193,Keta Park Floodplain Restoration Design,P,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1193,Keta Park Floodplain Restoration Design,P,Active,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,4.50,0.00,Acres,Cultural,Human
13-1193,Keta Park Floodplain Restoration Design,P,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Incidentals,Survey (Acq),Acres surveyed,,43.41,0.00,Acres,Survey,Assessment
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Incidentals,Stewardship plan,Acres included in the stewardship plan,,0.00,0.00,Acres,Stewardship,Human
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,17,0,Number,Incidentals,Unspecified
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,5.35,0.00,Acres,Land Acquisition Fee Simple,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,5.10,0.00,Acres,Land Acquisition Fee Simple,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,0.72,0.00,Acres,Land Acquisition Fee Simple,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,8.83,0.00,Acres,Land Acquisition Fee Simple,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Easement,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.00,0.00,Miles,,
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,13.19,0.00,Acres,Land Acquisition Easement,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,12.85,0.00,Acres,Land Acquisition Easement,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,0.18,0.00,Acres,Land Acquisition Easement,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,8.78,0.00,Acres,Land Acquisition Easement,Acquisition
13-1194,Carpenter Creek Estuary Acquisition,A,Active,PSAR,Real Property Acquisition,Project Acres Acquired,,,55.00,0.00,Acres,,
13-1371,Mason Conservation District LE,P,Closed Comp,SALMON-LE FED,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1371,Mason Conservation District LE,P,Closed Comp,SALMON-LE FED,Jobs Created,Number of jobs created by this project,,,1.50,0.00,Number,,
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Miles of streambank treated for plant removal/control (C.5.h.4),,0.37,0.00,Miles,Remove Plants Invasive,Waste
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.3,0.0,Acres,,
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,0.3,0.0,Acres,Remove Plants Invasive,Waste
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.37,0.00,Miles,,
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Equipment,Purchase miscellaneous equipment,Number of miscellaneous equipment items,,2,0,Number,Miscellaneous,Planning
13-1244,Goldsborough and Mill Knotweed Assessment,P,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.33,0.00,Miles,,
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,19.2,0.0,Acres,,
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.09,0.00,Miles,In-stream Installation,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,4,0,Number,In-stream Installation,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.3,0.0,Acres,In-stream Installation,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,4,0,Number,In-stream Installation,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,19.2,0.0,Acres,Riparian,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,2,0,Number,Permit,Planning
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.09,0.00,Miles,,
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,8,0,Yards,In-stream Installation,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Miles of streambank planted (C.5.c.4),,0.33,0.00,Miles,Riparian,Habitat
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
13-1246,Johns Creek LWD and Riparian Restoration,R,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Average Riparian Width,,0,0,Feet,Riparian,Habitat
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,0.5,0.5,Acres,,
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.10,0.10,Miles,Remove Armor,Shoreline Restoration
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.00,0.00,Acres,Cultural,Human
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,0.5,0.5,Acres,Remove Armor,Shoreline Restoration
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,2,2,Number,Permit,Planning
13-1250,Collier Boat Ramp and Jetty,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
13-1372,West Sound Watersheds Council LE,P,Closed Comp,SALMON-LE FED,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1372,West Sound Watersheds Council LE,P,Closed Comp,SALMON-LE FED,Jobs Created,Number of jobs created by this project,,,1.00,0.00,Number,,
14-1021,West Uncas Rd / Salmon Creek Culvert Design,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
14-1021,West Uncas Rd / Salmon Creek Culvert Design,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.5,0.0,Acres,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Miles of streambank treated for plant removal/control (C.5.h.4),,0.10,0.00,Miles,Remove Plants Invasive,Waste
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,0.2,0.0,Acres,Remove Plants Invasive,Waste
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.20,0.00,Miles,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Estuarine / Nearshore Project,Overwater structure removal / modification (C.9.o.1),Acres Treated with overwater structure removal/modification (C.9.o.2),,0.0,0.0,Acres,Remove Blockage,Shoreline Restoration
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Estuarine / Nearshore Project,Overwater structure removal / modification (C.9.o.1),Acres Treated with overwater structure removal/modification (C.9.o.2),,0.0,0.0,Acres,Remove Blockage,Fish Passage
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Estuarine / Nearshore Project,Regrading of slope (C.9.i.1),Acres of Estuary Treated through slope regrading (C.9.i.2),,0.2,0.0,Acres,Slope,Habitat
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Estuarine / Nearshore Project,Contaminant removal / remediation (C.9.m.1),Acres Treated for contaminant removal/modification (C.9.m.2),,0.5,0.0,Acres,Contaminants,Waste
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,1.0,0.0,Acres,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,0,0,Number,Monitoring,Assessment
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Estuarine / Nearshore Project,Removal of existing fill material (C.9.g.1),Acres of Estuary Treated through fill material removal (C.9.g.2),,0.5,0.0,Acres,Fill,Habitat
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Miles of streambank planted (C.5.c.4),,0.20,0.00,Miles,Riparian,Habitat
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,3,0,Number,Permit,Planning
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.26,0.00,Miles,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Real Property Acquisition,Project Acres Acquired,,,1.50,0.00,Acres,,
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.5,0.0,Acres,Riparian,Habitat
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Average Riparian Width,,7,0,Feet,Riparian,Habitat
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,1.50,0.00,Acres,Land Acquisition Fee Simple,Acquisition
14-1300,Dosewallips Estuary Barge Removal,A,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.50,0.00,Miles,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Miles of streambank treated for plant removal/control (C.5.h.4),,0.50,0.00,Miles,Remove Plants Invasive,Waste
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,7.7,0.0,Acres,Remove Plants Invasive,Waste
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,7.7,0.0,Acres,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Incidentals,Noxious weed control,Acres treated for noxious weeds by method,,10.00,0.00,Acres,Remove Plants Invasive,Waste
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Incidentals,Noxious weed control,Acres treated for noxious weeds by method,,10.00,0.00,Acres,Remove Plants Invasive,Waste
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,1,0,Number,Incidentals,Unspecified
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Incidentals,Survey (Acq),Acres surveyed,,0.00,0.00,Acres,Survey,Assessment
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Miles of streambank planted (C.5.c.4),,0.50,0.00,Miles,Riparian,Habitat
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Debris/structures removal (C.5.j.1),Acres of Riparian Area Treated. (C.5.j.2),,7.7,0.0,Acres,Remove Structure,Fish Passage
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Real Property Acquisition,Project Acres Acquired,,,14.16,0.00,Acres,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,7.7,0.0,Acres,Riparian,Habitat
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.50,0.00,Miles,,
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,7.66,0.00,Acres,Land Acquisition Fee Simple,Acquisition
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,6.50,0.00,Acres,Land Acquisition Fee Simple,Acquisition
14-1321,Lower Big Quilcene River Riparian Protection,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Average Riparian Width,,150,0,Feet,Riparian,Habitat
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,2,0,Number,Incidentals,Unspecified
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Incidentals,Survey (Acq),Acres surveyed,,0.00,0.00,Acres,Survey,Assessment
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Real Property Acquisition,Project Acres Acquired,,,215.00,0.00,Acres,,
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,215.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
14-1322,Duckabush Riparian Habitat Acquisition,A,Active,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,1.25,0.00,Miles,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Miles of streambank treated for plant removal/control (C.5.h.4),,0.29,0.00,Miles,Remove Plants Invasive,Waste
14-1326,Beards Cove Restoration,A,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.29,0.00,Miles,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,5.0,0.0,Acres,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,5.0,0.0,Acres,Remove Plants Invasive,Waste
14-1326,Beards Cove Restoration,A,Active,PSAR,Estuarine / Nearshore Project,Removal of existing fill material (C.9.g.1),Acres of Estuary Treated through fill material removal (C.9.g.2),,7.3,0.0,Acres,Fill,Habitat
14-1326,Beards Cove Restoration,A,Active,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,70,0,Number,Monitoring,Assessment
14-1326,Beards Cove Restoration,A,Active,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,7.3,0.0,Acres,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Estuarine / Nearshore Project,Debris removal (C.9.n.1),Acres Treated for debris removal (C.9.n.2),,3.0,0.0,Acres,Debris,Waste
14-1326,Beards Cove Restoration,A,Active,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Acres of Estuary Treated (C.9.c.3),,7.3,0.0,Acres,Channel Connectivity,Habitat
14-1326,Beards Cove Restoration,A,Active,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Yards of Channel Modified/Created (C.9.c.2),,400,0,Yards,Channel Connectivity,Habitat
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Miles of streambank planted (C.5.c.4),,0.29,0.00,Miles,Riparian,Habitat
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.13,0.00,Miles,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Project Acres Acquired,,,8.10,0.00,Acres,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
14-1326,Beards Cove Restoration,A,Active,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,13,0,Number,Permit,Planning
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,5.0,0.0,Acres,Riparian,Habitat
14-1326,Beards Cove Restoration,A,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,3.80,0.00,Acres,Land Acquisition Easement,Acquisition
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,2.30,0.00,Acres,Land Acquisition Easement,Acquisition
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,2.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
14-1326,Beards Cove Restoration,A,Active,PSAR,Real Property Acquisition,Easement,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
14-1326,Beards Cove Restoration,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Average Riparian Width,,400,0,Feet,Riparian,Habitat
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,4.2,0.0,Acres,,
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Estuarine / Nearshore Project,Culvert modification / removal (C.9.f.1),Number of Culverts Modified/Removed To Allow Fish Passage (C.9.f.2),,17,0,Number,Remove Culvert,Fish Passage
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Estuarine / Nearshore Project,Culvert modification / removal (C.9.f.1),Acres Opened To Fish Passage through culvert modification/removal (C.9.f.3),,369.0,0.0,Acres,Remove Culvert,Fish Passage
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Architectural & Engineering,Architectural & Engineering (A&E),Percent architectural & engineering,,0.00,0.00,Percent,Miscellaneous,Planning
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Estuarine / Nearshore Project,Fill placement (C.9.h.1),Acres of Estuary Treated with fill placement (C.9.h.2),,2.0,0.0,Acres,Fill,Habitat
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Yards of Channel Modified/Created (C.9.c.2),,500,0,Yards,Channel Connectivity,Habitat
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Acres of Estuary Treated (C.9.c.3),,1.2,0.0,Acres,Channel Connectivity,Habitat
14-1369,Skokomish Estuary Restoration Phase 3C,R,Active,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
