Project Description,Performance Summary,Funding Number,Application/Alt Reference Number,"Status
 (I=Inactive/Closed, A=Active)",Funding Fiscal Year,General Project Category,SRF/CBR Project (Needs) Category 1,SRF/CBR Project (Needs) Category 2,SRF/CBR Project (Needs) Category 3,County,WRIA,Leg Dist,Cong Dist,Fund Source,Recipient,Project Title,End Date,Funding Provided,Application Number,Applicant Organization,Project Title,Project Description,Population of the System,Population of the Project,Year of the Population Estimate,ESA_YES_NM,Statewide_PROJ_YES_NM,APP_START_DATE_DT,PROJ_LENGTH_NR,ANT_PROJ_COMP_DATE,INIT_OPER_DATE,Waterbodies Affected,303D List_True_False,303D LISTING_ID1,303D LISTING_ID2,303D LISTING_ID3,303D LISTING_ID4,303D LISTING_ID5,303D LISTING_ID6,303D LISTING_ID7,303D LISTING_ID8,303D LISTING_ID9,303D LISTING_ID10,Addresses Priority Area of Puget Sound Partnership Action Agenda,Area of Puget Sound Partnership Action Agenda Addressed,Affects Endangered Salmonids,Affects Threatened Salmonids,Affects Other Endangered Species,Involves Shellfish Habitat,Involves Domestic Water Supply,Involves Public Health Requirement,Addresses TMDL,Addresses NPDES,Addressing Any Other Needs,Program Plans Being Implemented,GMA Compliance,GMA Compliance Date,Anticipated Date of Reaching GMA Compliance,Wastewater Treatment System,Water Reclamation Reuse,Water Reclaimation Reuse Feasibility Study,Stormwater Pollutant Control Facility,Onsite Repair-Replacement,Combined Sewer Overflow Correction,Other Category of Facility Project,Combined Compr or Gen Sewer or SW Plan with Fac. Plan,Facility Comp. Plan Approval Date,Site Specific Fac. Plan,Site Specific Fac. Plan Approval Date,Facility Design,Facility Design Approval Date,Facility Construction,Facility Construction Approval Date,Facility Design & Construction,Facility Design & Construction Approval Date,Facility Design-Build ,Facility Design-Build Approval Date,Does project address permit requirements,Permit Number,Permit status,Permit BOD Limit,Permit TSS Limit,Facility Design Capacity,Project Involves Reducing A Pollutant Load,Project Improves Dissolved Oxygen,Project Reduces Nitrogen,Project Reduces Phosphorus,Project Reduces Sediment,Project Reduces Fecal Coliform,Project Improves Stream Temp,Other Pollutant Reductions/Improvements,Project Improves Shade,Project Improves Organic Debris,SW_CATEGORY_LID,SW_CATEGORY_Source Control,SW_CATEGORY_RETROFIT,SW_CATEGORY_RETROFIT_LID,SW_CATEGORY_VACTOR WASTE FACILITY,SW_CATEGORY_PRETREATMENT-OIL Control Facility,SW_CATEGORY_Flow Control to Sewers,SW_CATEGORY_TAPE,SW_CATEGORY_OTHER,SW_CATEGORY_READY to Construct,SW_CATEGORY_DSGN Complete,SW_CATEGORY_PRCNT_DESGN_Complete,ACT_Category_AgBMP,ACT_CATEGORY_SW_BMP,ACT_CATEGORY_OTHER_BMPS,ACT_CATEGORY_LAKE Restoration,ACT_CATEGORY_Water Quality Monitoring,ACT_CATEGORY_Riparian Restoration,ACT_CATEGORY_Large Woody Debris,ACT_CATEGORY_Bank Stabilization,ACT_CATEGORY_Public Education,ACT_CATEGORY_OSS Planning-Surveys,ACT_CATEGORY_Groundwater Protection Plan,ACT_CATEGORY_Pilot-Demo,ACT_CATEGORY_Comp Planning,ACT_CATEGORY_OTHER,WATERCAT_Freshwater River,WATERCAT_Freshwater Lake,WATERCAT_Freshwater Wetlands,WATERCAT_Groundwater,WATERCAT_Marine Water,WATERCAT_Saltwater Estuary,WATERCAT_Other Waterbody Types,Latitude,Longitude
The purpose of this project is to prepare a facility plan to analyze alternatives to provide secondary treatment and disinfection for the wastewater generated in the Wollochet Harbor Sewer District.  Analyze alternatives to also meet water quality-based effluent limits for ammonia and chlorine as well as to minimize impact on shellfish area.  Select the most feasible and cost effective alternative.,"The project accomplished the following results: - Facility plan was approved on April 28, 1997.  - The selected alternative is to transfer the septic tank effluent from the Wollochet Harbor Sewr District to the city of Gig Harbor collection system for treatment and disposal.  A contract has been negotiated with the city of Gig Harbor to accept the septic tank effluent.",L9500009,FP95007,I,1995,Wastewater Facility,,,,PIERCE,15,26,06,Centennial Clean Water Program,WOLLOCHET HARBOR SEWER DISTRICT,WOLLOCHET HARBOR SEWER DISTRICT FACILITIES PLAN,5/1/97,"$61,866.48",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The city of Bremerton will prepare an approvable set of plans and specifications.  The plans and specifications shall be prepared for the construction of the following:  Approximately 9783 lineal feet of storm sewer pipe; approximately 1211 lineal feet of sanitary sewer/combined sewer pipe; overflow improvements to include approximately 227 lineal feet of pipe and 4 manholes; various manholes, catch basins and structures; miscellaneous utility relocations, approximately 2135 lineal feet.  The purpose is to reduce the number of CSO events per year from 93 to an average of one per year.  The design generally includes the initial portion of a separate storm sewer system in Montgomery Avenue, Farragut Avenue, and SR304 between 6th and the existing outfall in the Puget Sound Naval Shipyard side lines in Rodger Street and Coontz Street, together with the new SR304 outfall improvements as described in Callow CSO reduction engineerig report.  This is the first step in achieving reductions of CSO's from this basin to Sinclair Inlet.","The plans and specifications were approved by Ecology on April 22, 1997.",L9500016,FP95147,I,1995,Wastewater Facility,,,,KITSAP,15,35,06,Centennial Clean Water Program,BREMERTON CITY OF,CALLOW AVENUE BASIN CSO REDUCTION-PHASE I,5/1/97,"$726,773.84",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The city of Bremerton is constructing Phase 2 of Section 1 of the Callow Avenue Basin Separation Project.  This project will reduce combined sewer overflows from the Callow Avenue Basin, which discharges contaminated water into Sinclair Inlet.",The stormwater was separated from the sanitary sewer in the Callow Avenue Basin.,L9600021,FP96114,I,1996,Wastewater Facility,,,,KITSAP,15,26,06,Centennial Clean Water Program,BREMERTON CITY OF,CALLOW AVENUE BASIN CSO SEPARATION - PHASE 2,7/31/98,"$2,500,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The purpose of the project is to reduce the amount of overflows to the Sinclair Inlet and the Washington Narrows through separation of the storm water from the wastewater.  This will be done by installing approximately 6,500 linear feet of 12 inch through 24 inch storm sewer pipe.  Approximately 1,700 linear feet of 8 inch through 15 inch SDR 3034 PVC storm drain lateral pipe, manholes, catch basins, surface restoration, erosion control, relocation of existing water lines sewer service connection and attach basin connection.",Reduced the number of combined overflows that is being discharged to the Sinclair Inlet and the Washington Narrows.  Improve the water quality of the inlet and the narrows. Reduce total flows to the City's wastewater treatment plant.  Minimize operation and maintenance costs associated with conveyance and treatment of combined sewage.,L9700047,FP97164,I,1997,Wastewater Facility,,,,KITSAP,15,26,06,CWSRF Loan Program,BREMERTON CITY OF,CALLOW AVENUE BASIN CSO - PRIORITY 2,9/1/99,"$465,431.15",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The purpose of the project was to build a sewage collection, treatment and disposal system which would intercept the entire communities of Cove and Beulah Park, treat the wastewater, and properly dispose of it in a soil disposal system which would prevent its entry into state waters.","A vacuum wastewater collection system was constructed.  A recirculating sand filter system was constructed for wastewater treatment.  A drip irrigation effluent disposal system was constructed for final disposal.  All residents of Cove and Beulah Park were connected to the new system, eliminating all discharges to surface waters.",L9800002,FP97073,I,1997,Wastewater Facility,,,,KING,15,34,07,CWSRF Loan Program,VASHON SEWER DISTRICT,HEALTH HAZARD AREAS SEWER SYSTEMS BUNKER TRAIL AND SPRING BEACH,9/1/02,"$401,049.97",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The purpose of the project was to design and construct approximately 2000 feet of small diameter forcemain to connect 24 residences to the existing gravity collection system, along with installing 24 septic tank effluent pumps to the 24 residences.  This was needed in order to prepare for the new wastewater facilities and transmission line to the town of Gig Harbor.",Plans and specifications were developed and approved.  Construction was completed on this segment of the project.  The entire construction was completed with community volunteers resulting in project costs reduced by 50 percent.  Funding has been secured for construction of the interceptor and improvements needed at the town of Gig Harbor.,L9800007,FP98081,I,1998,Wastewater Facility,,,,PIERCE,15,26,06,CWSRF Loan Program,WOLLOCHET HARBOR SEWER DISTRICT,COLLECTION SYSTEM IMPROVEMENTS (DESIGN AND CONSTRUCT),6/30/00,"$52,189.53",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The Wollochet Harbor Sewer District's $108,500 loan will be used to designmodifications to the District's sewer collection system, install a pump station and forcemain to convey primary treated sewage from 66 residences of the Sewer District to the city of Gig Harbor for secondary treatment.",Purpose:  Tp design a new treatment facility that met water quality standards.  The alternative chosen was an interceptor and pump station from the Sewer District to the town of Gig Harbor completely eliminating the current wastewater facilities. Results:  1)  Plans and specifications were developed and approved.  2)  funding has been secured for construction of the interceptor and improvements needed at the town of Gig Harbor.,L9800008,FP98082,I,1998,Wastewater Facility,,,,PIERCE,15,26,06,CWSRF Loan Program,WOLLOCHET HARBOR SEWER DISTRICT,WASTEWATER FACILITIES IMPROVEMENT DESIGN,5/31/00,"$108,499.56",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The Bremerton-Kitsap County Health District will use the loan to establish a Local Loan Fund for providing financial assistance to homeowners to repair failing sewage disposal systems and to small farms to implement best management practices to protect water quality and public health.  The area of assistance will be county-wide with priority being given to protection of drinking water and marine shoreline areas.,34 loans were issued for septic system upgrade or repair; 34 septic system repairs have been completed.,L9800017,FP98023,I,1998,On-Site Septic System,,,,KITSAP,15,23,01,CWSRF Loan Program,BREMERTON-KITSAP CO HEALTH DIST,LOCAL LOAN PROGRAM,7/15/00,"$300,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vashon Sewer District will use the grant and loan to construct a new wastewater facility for the Beulah Park/Cove area.  this project will eliminate failing individual on-site systems and correct a severe public health hazard that was declared by the Washington State Department of Health.,"A vacuum wastewater collection system was constructed.  A recirculating sand filter system was constructed for wastewater treatment.  A drip irrigation effluent disposal system was constructed for final disposal.  All residents of Beulah Park and Cove were connected to the new system, eliminating all discharges to surface waters.",L9800021,FP98046,I,1998,Wastewater Facility,,,,KING,15,34,07,CWSRF Loan Program,VASHON SEWER DISTRICT,BEULAH PARK/COVE HAZARD AREAS FACILITIES CONSTRUCTION,9/1/02,"$343,750.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The city of Bainbridge Island will use the money to construct a new decant facility for dewatering of urban sediments from City stormwater catch basin sumps.,Project was terminated due to significant changes to the scope of work that are not the intent of the original agreement.,L9800037,FP98207,I,1998,Wastewater Facility,,,,KITSAP,15,23,01,CWSRF Loan Program,BAINBRIDGE ISLAND CITY OF,URBAN SEDIMENT/STORMWATER QUALITY CONTROL,8/31/02,"$40,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kitsap County will use the money to prepare a facilities plan to evaluate alternative sewer alignments, facility locations and component technologies.","Preparation of an incomplete Facility Plan.  It should be noted that the Facility Plan is incomplete and not approvable. The facility plan was submitted by Kitsap County to the Department for review and approval.  The State Environmental Review Process (SERP) for the project has not been completed.  The facility plan cannot not be approved the Department until SERP has been completed.  A letter dated April 11, 2002, from Kitsap County states the reasons for which the County does not want to spend additional time or money on the project at this time.  The County County requested that the loan be closed out. The reasons for not continuing further with the project are:  Very high cost associated with supporting a Local Improvement District.  Current discussions between various local governmental agencies could provide different opportunities for serving Gorst area. Therefore, the facility plan prepared for the project may not be relevant to the final solution. Please note that review comments by the Department staff, when prepared, will remain with the facility plan for future reference These comments will need to be addressed prior to approval of the facility plan.
",L9900039,FP99003,I,1999,Wastewater Facility,,,,KITSAP,15,26,06,CWSRF Loan Program,KITSAP COUNTY,GORST SEWER SYSTEM FACILITY PLAN,2/28/01,"$117,034.77",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
THE PROJECT IS TO PROVIDE FOR THE EFFECTIVE IMPLEMENTATION OF  PORTIONS OF THE BURLEY/MINTER WATERSHED PLAN. IT WILL ALSO FUND KITSAP COUNTY WIDE WATERSHED RANKING TO DETERMINE PRIORITY WATERSHEDS FOR FUTURE PLANNING.,,TAX88005,ER88005,I,1988,Nonpoint Source Activity,,,,KITSAP,15,26,06,Centennial Clean Water Program,KITSAP COUNTY,BURLEY/MINTER WATERSHED IMPLEMENTATION.,4/30/91,"$180,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DYES INLET WATERSHED PLANNING UNDER 400-12 WAC.  THIS GRANT PREPARES A WATERSHED MANAGEMENT PLAN FOR THE DYES INLET WATERSHED AND THE CLEAR CREEK WATERSHED,,TAX90044,FP88115,I,1989,Nonpoint Source Activity,,,,KITSAP,15,23,01,Centennial Clean Water Program,KITSAP COUNTY,DYES INLET/CLEAR CREEK WATERSHED PLAN,12/31/92,"$339,766.43",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
